pfas,c_com,n_com,c_all,n_all
PFBS,3019951.7204020224,-4.2,616595.0018614831,-3.54
PFPeS,794328.2347242833,-4.25,,
PFHxS,500000.0,-3.47,16000.0,-2.2
PFHpS,275422.87033381703,-3.34,,
PFOS,93325430.0796993,-4.35,1445439.7707459298,-2.91
PFMOPrA,51.28613839913649,-1.29,,
PFMOBA,154.8816618912482,-1.47,,
4:2FTS,2290.867652767775,-2.19,,
GenX,58.88436553555895,-0.77,79.4328234724282,-0.67
6:2FTS,1174897.5549395324,-3.11,,
PFBA,512.8613839913652,-2.02,831.7637711026714,-1.68
PFPeA,79432.82347242824,-3.35,,
PFHxA,38904.514499428085,-2.97,2630.2679918953822,-1.26
PFHpA,22908.67652767775,-2.58,,
PFOA,389045.14499428123,-3.46,22908.67652767775,-2.04
PFNA,295.12092266663893,-1.05,1023292.9922807553,-2.83
PFDA,5248.074602497735,-1.92,3467368.5045253215,-3.56
